node,content_length
Panic!_at_the_Disco,22652
The_White_Stripes,28577
Traffic_(band),5475
Frank_Zappa,35561
Starship_(band),5887
Europe_(band),8655
Puddle_of_Mudd,8875
Slipknot_(band),24119
Christopher_Cross,7643
Lenny_Kravitz,14122
Lynyrd_Skynyrd,9702
Disturbed_(band),12117
Foster_the_People,11377
Deep_Purple,23164
The_Strokes,11060
Oasis_(band),21230
Extreme_(band),4326
Bob_Seger,8307
The_Black_Keys,18442
Roy_Orbison,16932
3_Doors_Down,7994
Santana_(band),7944
The_Alan_Parsons_Project,3739
Meat_Loaf,20529
Incubus_(band),11741
Quiet_Riot,11798
Barenaked_Ladies,13370
Modest_Mouse,7137
Smokie_(band),5241
Sting_(musician),19199
Toto_(band),11545
Pop_Evil,4141
Don_Henley,11205
Saliva_(band),6934
REO_Speedwagon,6057
Accept_(band),7791
Living_Colour,6074
Sheryl_Crow,14385
The_Used,8594
Simple_Minds,18701
Sublime_(band),8075
The_Rolling_Stones,44709
Queen_(band),46650
Chris_de_Burgh,4646
Pink_Floyd,31156
Eddie_Cochran,7753
The_Script,7375
Uriah_Heep_(band),11180
The_Smiths,16075
Foals_(band),7396
